Motivo Teletrabajo,Provincia Contrato (grupo),Finalizado,Provincia Contrato,Contratos,Anio Fecha Inicio Teletrabajo,Canton Contrato,Estado Teletrabajo,Fecha Consulta,Genero,Mes Fecha Inicio Teletrabajo,Modo Ejecucion,Ruc Empresa
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Masculino,1,Teletrabajo,1.79275E+12
Emergente,GUAYAS,Finalizado,GUAYAS,1,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,4,Teletrabajo,9.0494E+11
Habitual,GUAYAS,Finalizado,GUAYAS,2,,GUAYAQUIL,Activo,14/11/2022,Masculino,,Teletrabajo,9.93113E+11
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79245E+12
Emergente,COTOPAXI,Vigente,COTOPAXI,32,2022,LATACUNGA,Activo,14/11/2022,Femenino,2,Teletrabajo,8.91789E+11
Habitual,GUAYAS,Vigente,GUAYAS,1,2018,GUAYAQUIL,Activo,14/11/2022,Femenino,6,Teletrabajo,1.79128E+12
Emergente,GUAYAS,Finalizado,GUAYAS,2,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,3,Teletrabajo,9.91262E+11
Emergente,GUAYAS,Finalizado,GUAYAS,1,2020,DURAN,Activo,14/11/2022,Femenino,9,Teletrabajo,9.92635E+11
Habitual,PICHINCHA,Finalizado,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,4,Teletrabajo,1.79286E+12
Habitual,GUAYAS,Vigente,GUAYAS,1,,SAN JACINTO DE YAGUACHI,Activo,14/11/2022,Masculino,,Teletrabajo,9.92916E+11
Emergente,PICHINCHA,Vigente,PICHINCHA,2,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79186E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79223E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,3,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,1.79116E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Masculino,6,Teletrabajo,1.79245E+12
